COIN,buy,1,193.94,Mon Feb 26 2024 17:35:16 GMT-0500 (Eastern Standard Time)
COIN,buy,1,197.3238,02/27 11:16:48
NVDA,buy,1,786.1357,02/27 11:16:50
TSLA,buy,1,201.49,02/27 11:16:59
COIN,sell,1,197,02/27 11:17:23
NVDA,sell,1,785.7,02/27 11:17:25
TSLA,sell,1,201.272,02/27 11:17:35
AMD,buy,1,176.9296,02/27 11:17:47
AAPL,buy,1,180.885,02/27 11:17:48
COIN,buy,1,197.14,02/27 11:17:49
NVDA,buy,1,786.15,02/27 11:17:51
TSLA,buy,1,201.4,02/27 11:18:00
AMD,sell,1,176.905,02/27 11:18:07
AAPL,buy,1,180.8955,02/27 11:18:08
COIN,sell,1,197.072,02/27 11:18:09
NVDA,buy,1,786.27,02/27 11:18:11
TSLA,buy,1,201.465,02/27 11:18:20
TSLA,buy,1,201.5,02/27 11:18:30
AMD,buy,1,177.05,02/27 11:18:42
AAPL,sell,1,180.88,02/27 11:18:43
COIN,buy,1,197.75,02/27 11:18:44
NVDA,buy,1,787.13,02/27 11:18:46
TSLA,buy,1,201.6401,02/27 11:18:50
AMD,buy,1,177.0908,02/27 11:19:02
AAPL,buy,1,180.894,02/27 11:19:03
COIN,buy,1,197.91,02/27 11:19:04
NVDA,buy,1,787.43,02/27 11:19:06
AMD,sell,1,177.088,02/27 11:19:17
AAPL,buy,1,180.895,02/27 11:19:18
COIN,buy,1,198.1138,02/27 11:19:19
NVDA,sell,1,786.72,02/27 11:19:21
TSLA,sell,1,201.58,02/27 11:19:30
AMD,sell,1,177.085,02/27 11:19:37
AAPL,sell,1,180.89,02/27 11:19:38
NVDA,sell,1,786.655,02/27 11:19:41
COIN,buy,1,198.1711,02/27 11:19:44
TSLA,buy,1,201.76,02/27 11:19:51
TSLA,sell,1,201.66,02/27 11:20:11
NVDA,sell,1,786.37,02/27 11:20:22
AAPL,sell,1,180.8757,02/27 11:20:24
COIN,sell,1,198.0047,02/27 11:20:25
TSLA,sell,1,201.63,02/27 11:20:31
AAPL,sell,1,180.8493,02/27 11:20:44
COIN,buy,1,198.28,02/27 11:20:45
NVDA,sell,1,786.124,02/27 11:20:47
COIN,sell,1,198.05,02/27 11:21:00
TSLA,buy,1,201.6399,02/27 11:21:06
TSLA,buy,1,201.7101,02/27 11:21:16
AMD,buy,1,177.012,02/27 11:21:28
COIN,buy,1,198.35,02/27 11:21:30
NVDA,buy,1,786.63,02/27 11:21:32
TSLA,sell,1,201.675,02/27 11:21:41
AMD,buy,1,177.0606,02/27 11:21:53
AAPL,buy,1,180.86,02/27 11:21:54
COIN,sell,1,198.2571,02/27 11:21:55
NVDA,buy,1,786.93,02/27 11:21:57
TSLA,buy,1,201.9111,02/27 11:22:06
AMD,sell,1,177.025,02/27 11:22:19
AAPL,sell,1,180.8297,02/27 11:22:20
NVDA,sell,1,786.69,02/27 11:22:23
COIN,buy,1,198.2599,02/27 11:22:26
AMD,sell,1,177.0001,02/27 11:22:29
COIN,buy,1,198.41,02/27 11:22:31
NVDA,sell,1,786.65,02/27 11:22:33
TSLA,sell,1,201.884,02/27 11:22:42
COIN,sell,1,198.195,02/27 11:23:01
TSLA,sell,1,201.71,02/27 11:23:12
AMD,buy,1,176.81,02/27 11:23:24
AAPL,buy,1,180.82,02/27 11:23:25
COIN,buy,1,198.49,02/27 11:23:26
NVDA,buy,1,786.8,02/27 11:23:28
TSLA,buy,1,201.89,02/27 11:23:37
NVDA,buy,1,786.856,02/27 11:23:43
AMD,buy,1,176.89,02/27 11:23:44
COIN,sell,1,198.42,02/27 11:23:46
TSLA,sell,1,201.87,02/27 11:23:52
AMD,buy,1,176.975,02/27 11:24:09
AAPL,buy,1,180.83,02/27 11:24:11
NVDA,buy,1,787.59,02/27 11:24:14
COIN,buy,1,198.9,02/27 11:24:17
TSLA,buy,1,202.03,02/27 11:24:23
TSLA,sell,1,201.99,02/27 11:24:33
AAPL,buy,1,180.8782,02/27 11:24:41
NVDA,buy,1,787.8282,02/27 11:24:44
AMD,buy,1,177.0678,02/27 11:24:45
COIN,sell,1,198.08,02/27 11:24:47
TSLA,buy,1,201.9999,02/27 11:24:58
AMD,buy,1,177.0969,02/27 11:25:10
AAPL,sell,1,180.865,02/27 11:25:11
COIN,buy,1,198.88,02/27 11:25:12
NVDA,sell,1,787.64,02/27 11:25:14
TSLA,sell,1,201.9899,02/27 11:25:18
AMD,buy,1,177.1099,02/27 11:25:30
AAPL,buy,1,180.88,02/27 11:25:31
NVDA,buy,1,787.79,02/27 11:25:34
AMD,buy,1,177.265,02/27 11:25:50
AAPL,buy,1,180.93,02/27 11:25:51
COIN,buy,1,199.2018,02/27 11:25:52
NVDA,sell,1,787.37,02/27 11:25:54
TSLA,buy,1,202.12,02/27 11:26:03
TSLA,sell,1,202.095,02/27 11:26:08
AMD,sell,1,177.146,02/27 11:26:20
AAPL,sell,1,180.87,02/27 11:26:21
COIN,buy,1,199.345,02/27 11:26:22
NVDA,sell,1,786.816,02/27 11:26:24
AMD,buy,1,177.1501,02/27 11:26:30
AAPL,buy,1,180.8745,02/27 11:26:31
COIN,buy,1,199.38,02/27 11:26:32
NVDA,buy,1,787.08,02/27 11:26:34
TSLA,sell,1,201.942,02/27 11:26:43
TSLA,buy,1,202.01,02/27 11:26:59
AMD,sell,1,177.11,02/27 11:27:11
AAPL,buy,1,180.895,02/27 11:27:12
COIN,buy,1,199.57,02/27 11:27:13
NVDA,sell,1,786.945,02/27 11:27:15
TSLA,buy,1,202.0869,02/27 11:27:19
AMD,buy,1,177.1568,02/27 11:27:31
COIN,sell,1,199.48,02/27 11:27:33
NVDA,buy,1,787.3399,02/27 11:27:35
TSLA,buy,1,202.2201,02/27 11:27:49
AMD,sell,1,177.13,02/27 11:28:01
